id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
binancecoin,bnb,Binance Coin
tether,usdt,Tether
solana,sol,Solana
cardano,ada,Cardano
usd-coin,usdc,USD Coin
ripple,xrp,XRP
terra-luna,luna,Terra
polkadot,dot,Polkadot
avalanche-2,AVAX,Avalanche
dogecoin,doge,Dogecoin
shiba-inu,shib,Shiba Inu
matic-network,matic,Polygon
crypto-com-chain,cro,Crypto.com Coin
binance-usd,busd,Binance USD
wrapped-bitcoin,wbtc,Wrapped Bitcoin
algorand,algo,Algorand
litecoin,ltc,Litecoin
terrausd,ust,TerraUSD
chainlink,link,Chainlink
cosmos,atom,Cosmos
near,near,Near
dai,dai,Dai
uniswap,uni,Uniswap
bitcoin-cash,bch,Bitcoin Cash
tron,trx,TRON
okb,okb,OKB
stellar,xlm,Stellar
axie-infinity,axs,Axie Infinity
staked-ether,steth,Lido Staked Ether
fantom,ftm,Fantom
vechain,vet,VeChain
hedera-hashgraph,hbar,Hedera
the-sandbox,sand,The Sandbox
ftx-token,ftt,FTX Token
compound-ether,ceth,cETH
filecoin,fil,Filecoin
elrond-erd-2,egld,Elrond
internet-computer,icp,Internet Computer
theta-token,theta,Theta Network
ethereum-classic,etc,Ethereum Classic
magic-internet-money,mim,Magic Internet Money
decentraland,mana,Decentraland
monero,xmr,Monero
iota,miota,IOTA
tezos,xtz,Tezos
helium,hnt,Helium
cdai,cdai,cDAI
leo-token,leo,LEO Token
aave,aave,Aave
gala,gala,Gala
the-graph,grt,The Graph
klay-token,klay,Klaytn
arweave,ar,Arweave
eos,eos,EOS
pancakeswap-token,cake,PancakeSwap
compound-usd-coin,cusdc,cUSDC
flow,flow,Flow
harmony,one,Harmony
bittorrent-2,btt,BitTorrent
loopring,lrc,Loopring
kusama,ksm,Kusama
radix,xrd,Radix
enjincoin,enj,Enjin Coin
quant-network,qnt,Quant
blockstack,stx,Stacks
amp-token,amp,Amp
bitcoin-cash-sv,bsv,Bitcoin SV
olympus,ohm,Olympus
curve-dao-token,crv,Curve DAO Token
maker,mkr,Maker
convex-finance,cvx,Convex Finance
ecash,xec,eCash
thorchain,rune,THORChain
kadena,kda,Kadena
sushi,sushi,Sushi
huobi-btc,hbtc,Huobi BTC
theta-fuel,tfuel,Theta Fuel
spell-token,spell,Spell Token
basic-attention-token,bat,Basic Attention Token
celsius-degree-token,cel,Celsius Network
celo,celo,Celo
neo,neo,NEO
zcash,zec,Zcash
frax,frax,Frax
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC
kucoin-shares,kcs,KuCoin Token
osmosis,osmo,Osmosis
chiliz,chz,Chiliz
ecomi,omi,ECOMI
oasis-network,rose,Oasis Network
huobi-token,ht,Huobi Token
waves,waves,Waves
dash,dash,Dash
frax-share,fxs,Frax Share
nexo,nexo,NEXO
holotoken,hot,Holo
bitkub-coin,kub,Bitkub Coin
true-usd,tusd,TrueUSD
compound-governance-token,comp,Compound
msol,msol,Marinade staked SOL
mina-protocol,mina,Mina Protocol
iotex,iotx,IoTeX
xdce-crowd-sale,xdc,XDC Network
yearn-finance,yfi,yearn.finance
nem,xem,NEM
havven,snx,Synthetix Network Token
zilliqa,zil,Zilliqa
safemoon,safemoon,SafeMoon [OLD]
ravencoin,rvn,Ravencoin
gatechain-token,gt,GateToken
paxos-standard,usdp,Pax Dollar
1inch,1inch,1inch
gnosis,gno,Gnosis
e-radix,exrd,e-Radix
livepeer,lpt,Livepeer
link,ln,LINK
bitclout,deso,Decentralized Social
decred,dcr,Decred
immutable-x,imx,Immutable X
qtum,qtum,Qtum
convex-crv,cvxcrv,Convex CRV
ethereum-name-service,ens,Ethereum Name Service
dogelon-mars,elon,Dogelon Mars
wonderland,time,Wonderland
liquity-usd,lusd,Liquity USD
icon,icx,ICON
wax,waxp,WAX
nxm,nxm,Nexus Mutual
oec-token,okt,OEC Token
audius,audio,Audius
velas,vlx,Velas
omisego,omg,OMG Network
secret,scrt,Secret
ankr,ankr,Ankr
defi-kingdoms,jewel,DeFi Kingdoms
renbtc,renbtc,renBTC
compound-usdt,cusdt,cUSDT
rally-2,rly,Rally
bancor,bnt,Bancor Network Token
woo-network,woo,WOO Network
fei-usd,fei,Fei USD
siacoin,sc,Siacoin
zencash,zen,Horizen
render-token,rndr,Render Token
tomb-shares,tshare,Tomb Shares
iostoken,iost,IOST
bitcoin-gold,btg,Bitcoin Gold
telcoin,tel,Telcoin
xsushi,xsushi,xSUSHI
0x,zrx,0x
anchor-protocol,anc,Anchor Protocol
rocket-pool,rpl,Rocket Pool
smooth-love-potion,slp,Smooth Love Potion
metahero,hero,Metahero
nervos-network,ckb,Nervos Network
illuvium,ilv,Illuvium
constitutiondao,people,ConstitutionDAO
ufo-gaming,ufo,UFO Gaming
dydx,dydx,dYdX
syscoin,sys,Syscoin
uma,uma,UMA
ontology,ont,Ontology
kava,kava,Kava
hive,hive,Hive
swissborg,chsb,SwissBorg
perpetual-protocol,perp,Perpetual Protocol
skale,skl,SKALE
republic-protocol,ren,REN
wazirx,wrx,WazirX
constellation-labs,dag,Constellation
neutrino,usdn,Neutrino USD
zelcash,flux,Flux
mobox,mbox,Mobox
mask-network,mask,Mask Network
raydium,ray,Raydium
digibyte,dgb,DigiByte
moonriver,movr,Moonriver
aragon,ant,Aragon
nucypher,nu,NuCypher
synapse-2,syn,Synapse
golem,glm,Golem
yield-guild-games,ygg,Yield Guild Games
boba-network,boba,Boba Network
nano,xno,Nano
chromaway,chr,Chromia
origintrail,trac,OriginTrail
serum,srm,Serum
tribe-2,tribe,Tribe
coin98,c98,Coin98
flex-coin,flex,FLEX Coin
playdapp,pla,PlayDapp
wink,win,WINkLink
polymath,poly,Polymath
celer-network,celr,Celer Network
xyo-network,xyo,XYO Network
ultra,uos,Ultra
jasmycoin,jasmy,JasmyCoin
keep-network,keep,Keep Network
persistence,xprt,Persistence
just,jst,JUST
vader-protocol,vader,Vader Protocol
fx-coin,fx,Function X
reserve-rights-token,rsr,Reserve Rights Token
zipmex-token,zmt,Zipmex Token
swipe,sxp,Swipe
butterflydao,btrfly,Redacted Cartel
dent,dent,Dent
starlink,starl,StarLink
ocean-protocol,ocean,Ocean Protocol
plex,plex,PLEX
klima-dao,klima,Klima DAO
xido-finance,xido,Xido Finance
ton-crystal,ever,Everscale
lisk,lsk,Lisk
energy-web-token,ewt,Energy Web Token
injective-protocol,inj,Injective Protocol
veritaseum,veri,Veritaseum
dusk-network,dusk,DUSK Network
casper-network,cspr,Casper Network
fetch-ai,fet,Fetch.ai
cratos,crts,Cratos
hathor,htr,Hathor
tokemak,toke,Tokemak
cartesi,ctsi,Cartesi
digitalbits,xdb,DigitalBits
victoria-vr,vr,Victoria VR
tomb,tomb,Tomb
mirror-protocol,mir,Mirror Protocol
superfarm,super,SuperFarm
metis-token,metis,Metis Token
sapphire,sapp,Sapphire
rmrk,rmrk,RMRK
husd,husd,HUSD
pax-gold,paxg,PAX Gold
baby-doge-coin,babydoge,Baby Doge Coin
coti,coti,COTI
anyswap,any,Anyswap
biconomy,bico,Biconomy
mdex,mdx,Mdex
joe,joe,JOE
alpha-finance,alpha,Alpha Finance
reef-finance,reef,Reef Finance
radicle,rad,Radicle
rari-governance-token,rgt,Rari Governance Token
tether-gold,xaut,Tether Gold
vulcan-forged,pyr,Vulcan Forged
